fluid,L_m,v0_m_s,U_W_m2K,status,dp_Pa,dp_fraction,q0,qref,q1,q2,heat_ref,cp0_error,cp1_error,table_error,frozen_error,one_error,two_error,gated_error,flow_one_error,outlet_ref_K,vapor_in,vapor_out,one_self_mismatch,refinement_error,energy_residual,one_cpu_us,reference_cpu_us,reference_evals,detail
water-cooling,150.0,0.2,2.0,OK,1503.8657063858006,0.005012885687952669,0.3795940340808883,0.3793414025357065,0.37931352724882605,0.37931332295410236,2786.0359137234523,1.9953017550367463E-6,9.753771527397091E-7,1.0289664066387397E-5,4.90819739289649E-7,1.1371657203346324E-5,1.137958761498415E-5,4.90819739289649E-7,7.348337590910609E-5,358.2515374418511,0.0,0.0,1.0880961198617469E-5,NaN,1.958707796706737E-15,0.0,15625.0,43,
water-cooling,150.0,0.2,15.0,OK,1503.8657063858006,0.005012885687952669,0.3795940340808883,0.37764972078868575,0.3776070351218116,0.3775965952119214,19008.082287852594,9.777822498705398E-5,4.067844193252001E-5,1.6340927798642987E-5,5.341122338971417E-4,2.848461913762131E-5,3.145506793500982E-5,5.341122338971417E-4,1.1302978533919945E-4,348.0043934523607,0.0,0.0,5.626128788483388E-4,NaN,1.9139660600108407E-16,0.0,0.0,43,
water-cooling,150.0,0.2,60.0,OK,1503.8657063858006,0.005012885687952669,0.3795940340808883,0.37164831104252416,0.3717333215667622,0.3715739386212757,55745.98500317365,9.860653018967068E-4,2.3082093145001387E-4,9.638149113542999E-6,0.008131302856249412,7.879115950417344E-5,8.702548293938877E-5,0.008131302856249412,2.2873916472154074E-4,324.185009112129,0.0,0.0,0.00805187727999816,NaN,2.6101913448289547E-16,0.0,15625.0,43,
water-cooling,150.0,1.0,2.0,SCREENED_DP,30789.8941464708,0.102632980488236
water-cooling,150.0,1.0,15.0,SCREENED_DP,30789.8941464708,0.102632980488236
water-cooling,150.0,1.0,60.0,SCREENED_DP,30789.8941464708,0.102632980488236
water-cooling,150.0,3.0,2.0,SCREENED_DP,260817.712556641,0.8693923751888033
water-cooling,150.0,3.0,15.0,SCREENED_DP,260817.712556641,0.8693923751888033
water-cooling,150.0,3.0,60.0,SCREENED_DP,260817.712556641,0.8693923751888033
water-heating,1.0,0.002,2.0,OK,0.021855232767999996,7.285077589333332E-8,0.003910155501225256,0.003958626805537909,0.003953848490051625,0.003953363386248077,-18.671761558991673,3.208944226946867E-7,1.5433435224419422E-7,2.269452551945181E-6,1.195818629874045E-4,1.3707154660122104E-5,1.48698684681977E-5,1.195818629874045E-4,0.0012070638938731842,301.1283226490504,0.0,0.0,1.058761595881767E-4,7.499624465771015E-9,5.594073893653479E-14,0.0,31250.0,43,
water-heating,1.0,0.002,15.0,OK,0.021855232767999996,7.285077589333332E-8,0.003910155501225256,0.004235509907827546,0.00424791275997027,0.0042203696144297535,-132.3675908230948,1.285460035069983E-5,4.913577987958493E-6,4.956794563216538E-6,0.005400187252775268,1.8507420162171747E-4,2.3837691753981607E-4,0.005400187252775268,0.00292830200203355,307.4776526908504,0.0,0.0,0.005584227957866009,NaN,0.0,0.0,0.0,43,
water-heating,1.0,0.002,60.0,OK,0.021855232767999996,7.285077589333332E-8,0.003910155501225256,0.004913632450042997,0.00511342730733895,0.004867212933273501,-453.47916292383843,8.512140263587841E-5,9.793999797293569E-6,5.689247228177354E-7,0.052415648714523276,0.008331557651066461,0.0020198526340532022,0.052415648714523276,0.0406613354432329,322.0861403628009,0.0,0.0,0.06024526943012859,NaN,2.237649187921066E-15,0.0,15625.0,43,
water-heating,1.0,0.02,2.0,OK,0.21855232768000002,7.285077589333334E-7,0.03910155501225257,0.039150864429178006,0.03914506202148764,0.03914501364358802,-18.831476909912077,4.76667998578768E-9,9.439968850135301E-11,2.5789624901988907E-7,1.4681164953103092E-6,4.001490145838353E-7,4.0133501021144835E-7,1.4681164953103092E-6,1.4820637487744477E-4,300.1150577543471,0.0,0.0,1.0679679080727799E-6,NaN,2.3940742853019735E-13,0.0,0.0,43,
water-heating,1.0,0.02,15.0,OK,0.21855232768000002,7.285077589333334E-7,0.03910155501225257,0.039466857094310984,0.03942886431845884,0.03942613765954593,-140.36698903191223,1.8312666025554993E-7,8.820697841536932E-8,1.7670442657397803E-6,6.833129678457217E-5,8.632778724520976E-6,9.126024118870337E-6,6.833129678457217E-5,9.626501487402079E-4,300.85078485575684,0.0,0.0,5.969903342859685E-5,NaN,1.3566373291330339E-14,0.0,0.0,43,
water-heating,1.0,0.02,60.0,OK,0.21855232768000002,7.285077589333334E-7,0.03910155501225257,0.04050273376406184,0.04042483685618234,0.040380923813977156,-550.0352261518607,2.5868061986598838E-6,1.1642787118614587E-6,4.961815532171683E-6,9.926222660820178E-4,5.810554986523042E-5,8.815311336334682E-5,9.926222660820178E-4,0.001923250621384469,303.2488972320675,0.0,0.0,9.345710199797914E-4,NaN,9.094893009731174E-15,0.0,0.0,43,
water-heating,1.0,0.2,2.0,OK,12.482746277969506,4.1609154259898354E-5,0.39101555012252565,0.3910217490607551,0.3910209491519084,0.3910209490764522,-18.847744726851438,4.783022435866037E-10,4.714638180125571E-10,2.5832893864225426E-8,2.735395337209447E-8,2.6022500282659782E-8,2.602225768904602E-8,2.735395337209447E-8,2.0456888872224696E-6,300.01153005406826,0.0,0.0,1.3314531240824263E-9,NaN,1.857245484562742E-12,0.0,0.0,43,
water-heating,1.0,0.2,15.0,OK,12.482746277969506,4.1609154259898354E-5,0.39101555012252565,0.39106203700094616,0.3910560407123931,0.39105603651978094,-141.26984260618522,3.5793552484216613E-9,1.025220506424445E-9,1.9365889641604627E-7,2.7933406071808866E-7,2.0470816865803873E-7,2.0471637750549538E-7,2.7933406071808866E-7,1.5333343525400614E-5,300.086412519907,0.0,0.0,7.462590733658279E-8,NaN,1.3821575798164517E-13,0.0,0.0,43,
