=== harness select (repo /home/user/CreateChemE, 3dbd9b8 + uncommitted src changes)
DUTY 5.0 33 open=false phi=0.010017832461723284 P=148565.26734982448 q=[0.011187763266610666, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 34 open=true phi=0.009696753434463447 P=148517.31626832235 q=[0.011193547573718387, 0.07515474929648612] rejected=2 modes=[PASSIVE, CLOSED]
DUTY 5.0 35 open=false phi=0.009752938887867562 P=148525.85873925113 q=[0.011192484588574006, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 36 open=false phi=0.009809119212285788 P=148534.39829348976 q=[0.011191461623084428, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 37 open=false phi=0.009865294408928934 P=148542.93498064706 q=[0.011190438921664842, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 38 open=false phi=0.00992146447898419 P=148551.46884814856 q=[0.01118941647865639, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 39 open=false phi=0.00997762942361319 P=148559.99994244028 q=[0.011188394288520476, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 40 open=false phi=0.009656533465954147 P=148512.03751896782 q=[0.011190134864945906, 0.07515469105415357] rejected=3 modes=[PASSIVE, CLOSED]
DUTY 5.0 44 open=false phi=0.00988125724147968 P=148546.18095398124 q=[0.01119004987736262, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 48 open=false phi=0.00972869110733564 P=148523.80924332453 q=[0.011192729778986716, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 52 open=false phi=0.009953386678247508 P=148557.92154716773 q=[0.011188643029527838, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 56 open=false phi=0.00980082632038323 P=148535.53527991686 q=[0.011191324964598404, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY_SUMMARY interval=5.0 slices=60 transitions=9 openSlices=6 rejected=23 reasons={Backward-Euler state change #=23} phiRangeAfter100s=[0.009656533465954147,0.010017832461723284] fed=3.356745159794023 drained=12.938866162336598
DUTYSTEP 0 open=true phi=0.0180707914752755 q=[0.011049373617242153, 1.5238470673035727] modes=[PASSIVE, PASSIVE]
DUTYSTEP 1 open=true phi=0.016555741201828858 q=[0.011074615064137915, 1.5201091380060643] modes=[PASSIVE, PASSIVE]
DUTYSTEP 2 open=true phi=0.015044462810079753 q=[0.011100133104753314, 1.5163792484278642] modes=[PASSIVE, PASSIVE]
DUTYSTEP 3 open=true phi=0.013536949578797195 q=[0.01112595863381942, 1.5126565980269286] modes=[PASSIVE, PASSIVE]
DUTYSTEP 4 open=true phi=0.012033195901493562 q=[0.011152127201115709, 1.5089401686260222] modes=[PASSIVE, PASSIVE]
DUTYSTEP 5 open=true phi=0.010533197634287925 q=[0.011178680375429711, 1.5052286235605514] modes=[PASSIVE, PASSIVE]
DUTYSTEP 6 open=true phi=0.009036952431149235 q=[0.011205475656345257, 1.501520143548331] modes=[PASSIVE, PASSIVE]
DUTYSTEP 7 open=false phi=0.009048202334956833 q=[0.011205269981418901, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 8 open=false phi=0.009059452033423824 q=[0.011205064317139187, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 9 open=false phi=0.009070701525343422 q=[0.011204858669578132, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 10 open=false phi=0.009081950811133402 q=[0.01120465303661359, 0.0] modes=[PASSIVE, CLOSED]
