=== harness select (repo /home/user/CreateChemE, 3dbd9b8 + uncommitted src changes)
PHASE_PORT_CLOSURE_SLICE refusal-0.1 71 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 72 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 73 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 74 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 75 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 76 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 77 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 78 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 79 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 80 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 81 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 82 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 83 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 84 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 85 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 86 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 87 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 88 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 89 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 90 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 91 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 92 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 93 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 94 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 95 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 96 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 97 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 98 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 99 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
