node,pressure_ref_Pa,pressure_rel,temperature_dK,mass_rel,hc_moles_rel,liquid_volume_rel,water_volume_rel,vapor_volume_rel,kappa_eos_per_Pa,pressure_term,anchor_term,first_order_liquid_rel,exact_formulation_rel,check_residual_of_deviation,water_kappa_per_Pa,water_first_order_rel
11,150430.529971,3.0358e-07,5.6959e-06,2.8454e-05,2.8454e-05,1.0249e-03,-9.3097e-04,-4.5402e-05,1.2437e-09,4.5079e-04,5.9181e-04,1.0711e-03,9.8873e-04,0.0450,4.5653e-10,-1.0052e-03
12,150098.008703,7.9943e-08,1.4144e-06,2.8475e-05,2.8475e-05,1.0251e-03,-9.3062e-04,-4.5154e-05,1.2436e-09,4.5066e-04,5.9205e-04,1.0712e-03,9.8882e-04,0.0450,4.5655e-10,-1.0053e-03
13,149693.612363,-1.3965e-07,-2.8684e-06,2.8557e-05,2.8557e-05,1.0252e-03,-9.3015e-04,-4.4861e-05,1.2434e-09,4.5043e-04,5.9234e-04,1.0713e-03,9.8886e-04,0.0450,4.5658e-10,-1.0055e-03
14,149516.945167,-2.8312e-07,-6.0884e-06,2.8579e-05,2.8579e-05,1.0254e-03,-9.2983e-04,-4.4717e-05,1.2434e-09,4.5049e-04,5.9249e-04,1.0716e-03,9.8906e-04,0.0450,4.5661e-10,-1.0055e-03
15,149519.217478,-2.7091e-07,-5.8439e-06,2.8589e-05,2.8589e-05,1.0254e-03,-9.2983e-04,-4.4721e-05,1.2434e-09,4.5047e-04,5.9248e-04,1.0716e-03,9.8904e-04,0.0450,4.5660e-10,-1.0055e-03
16,149716.575884,-1.2143e-07,-2.5163e-06,2.8558e-05,2.8558e-05,1.0252e-03,-9.3017e-04,-4.4878e-05,1.2434e-09,4.5043e-04,5.9232e-04,1.0713e-03,9.8885e-04,0.0450,4.5658e-10,-1.0055e-03
17,150129.082359,6.7972e-08,1.3349e-06,2.8429e-05,2.8429e-05,1.0250e-03,-9.3071e-04,-4.5175e-05,1.2436e-09,4.5068e-04,5.9203e-04,1.0712e-03,9.8882e-04,0.0450,4.5655e-10,-1.0053e-03
18,150443.241673,9.7121e-08,2.9504e-06,2.8140e-05,2.8140e-05,1.0246e-03,-9.3144e-04,-4.5398e-05,1.2437e-09,4.5079e-04,5.9180e-04,1.0708e-03,9.8872e-04,0.0451,4.5653e-10,-1.0052e-03
19,150471.063311,1.8462e-07,5.0087e-06,2.8175e-05,2.8175e-05,1.0244e-03,-9.3155e-04,-4.5438e-05,1.2436e-09,4.5061e-04,5.9175e-04,1.0706e-03,9.8850e-04,0.0451,4.5651e-10,-1.0052e-03
20,150425.163352,3.6141e-07,6.4635e-06,2.8543e-05,2.8543e-05,1.0250e-03,-9.3083e-04,-4.5402e-05,1.2437e-09,4.5079e-04,5.9182e-04,1.0712e-03,9.8874e-04,0.0450,4.5653e-10,-1.0052e-03
