Temperature (K)	Pressure (kPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
87.9109196297	300.098617000	755.693254924	0.00132328824359	-2.81233702271	-2.80121239437	86.7823110366	28.8253852426	59.3219916643	741.550865958	-0.250912840058	110.016578393	0.123921807301	0.00655557853844	12.6741859708	0.0789005307564	1.68873218106	2.35203368418	145.401264180	22.4203345076	34.5570283912	181.011829113	21.6525179474	6.30116689532	0.00855580192549
88.1185372374	305.737417334	754.644837269	0.00132512666968	-2.80015570672	-2.78880630287	86.9208892068	28.7986895628	59.3821042207	739.325512099	-0.248538824358	109.269892934	0.123512448155	0.00651130758686	12.8990665477	0.0775249896033	1.69101739650	2.35500102618	145.294614989	22.4404008671	34.6405504381	181.095489434	21.5671943669	6.31891991839	0.00858603537696
88.3233518967	311.376217666	753.608047158	0.00132694973703	-2.78812958934	-2.77655496314	87.0573860323	28.7724984805	59.4422821233	737.127084031	-0.246168234986	108.540321076	0.123108635586	0.00646769246726	13.1238826202	0.0761969631195	1.69324918243	2.35789482872	145.189801544	22.4603712837	34.7240520559	181.176528886	21.4836592841	6.33647505475	0.00861602787557
88.5254527275	317.015018000	752.582511193	0.00132875795694	-2.77625369162	-2.76445339898	87.1918717174	28.7467952777	59.5025296287	734.954711667	-0.243800782133	107.827161539	0.122710193001	0.00642471209854	13.3486414771	0.0749139904398	1.69542924110	2.36071745651	145.086756156	22.4802488435	34.8075416796	181.255039779	21.4018423544	6.35383878911	0.00864578859816
88.7249244676	322.653818333	751.567874128	0.00133055181631	-2.76452327931	-2.75249687877	87.3244129047	28.7215640902	59.5628508550	732.807567887	-0.241436188504	107.129753541	0.122316952474	0.00638234644412	13.5733501553	0.0736737790269	1.69755918958	2.36347115555	144.985414760	22.5000364967	34.8910274385	181.331109644	21.3216771651	6.37101728915	0.00867532627369
88.9218477612	328.292618667	750.563797686	0.00133233177923	-2.75293384673	-2.74068089936	87.4550729145	28.6967898506	59.6232497906	730.684865700	-0.239074188519	106.447473807	0.121928754170	0.00634057644287	13.7980154546	0.0724741904582	1.69964056535	2.36615806111	144.885716666	22.5197370654	34.9745171751	181.404821558	21.2431009526	6.38801642641	0.00870464921289
89.1162994237	333.931419000	749.569959470	0.00133409828845	-2.74148110198	-2.72900117130	87.5839119650	28.6724582351	59.6837303024	728.585855639	-0.236714527580	105.779733836	0.121545445834	0.00629938394564	14.0226439498	0.0713132276326	1.70167483153	2.36878020489	144.787604322	22.5393532518	35.0580184629	181.476254445	21.1660543430	6.40484179541	0.00873376533536
89.3083526852	339.570219334	748.586051954	0.00133585176666	-2.73016095336	-2.71745360525	87.7109873733	28.6485556154	59.7442961428	726.509823362	-0.234356961385	105.125977419	0.121166882308	0.00625875165700	14.2472420034	0.0701890232343	1.70366338164	2.37133952174	144.691023103	22.5588876451	35.1415386229	181.545483342	21.0904811164	6.42149873130	0.00876268219462
89.4980774146	345.209019667	747.611781564	0.00133759261780	-2.71896949684	-2.70603429944	87.8363537417	28.6250690145	59.8049509573	724.456087446	-0.232001255305	104.485678360	0.120792925087	0.00621866308158	14.4718157765	0.0690998293126	1.70560754398	2.37383785576	144.595921120	22.5783427278	35.2250847382	181.612579660	21.0163279898	6.43799232600	0.00879140700103
89.6855403264	350.847819999	746.646867825	0.00133932122814	-2.70790300453	-2.69473952817	87.9600631284	28.6019860651	59.8656982903	722.423997359	-0.229647183805	103.858338408	0.120423441916	0.00617910247456	14.6963712394	0.0680440078512	1.70750858574	2.37627696594	144.502249033	22.5977208819	35.3086636685	181.677611405	20.9435444195	6.45432744323	0.00881994664305
