fluid,L_m,v0_m_s,U_W_m2K,nine_error,seventeen_error
methane-cooling,50.0,0.02,15.0,0.0,0.0
methane-cooling,50.0,0.02,60.0,0.0,0.0
methane-cooling,50.0,0.2,2.0,3.904904093342685E-5,1.5634212254968057E-5
methane-cooling,50.0,0.2,15.0,0.0,0.0
methane-cooling,50.0,0.2,60.0,0.0,0.0
methane-cooling,50.0,1.0,2.0,2.664916389757254E-4,7.567271374881617E-5
methane-cooling,50.0,1.0,15.0,4.918989180774828E-9,2.139676521865164E-9
methane-cooling,50.0,1.0,60.0,0.0,0.0
methane-cooling,50.0,3.0,2.0,3.3365026484022864E-4,8.74595952229958E-5
methane-cooling,50.0,3.0,15.0,1.1296941697844271E-4,4.138119612146577E-5
methane-cooling,50.0,3.0,60.0,5.791581533381998E-11,2.506461821081526E-11
methane-cooling,150.0,0.002,2.0,0.0,0.0
methane-cooling,150.0,0.002,15.0,0.0,0.0
methane-cooling,150.0,0.002,60.0,0.0,0.0
methane-cooling,150.0,0.02,2.0,0.0,0.0
methane-cooling,150.0,0.02,15.0,0.0,0.0
methane-cooling,150.0,0.02,60.0,0.0,0.0
methane-cooling,150.0,0.2,2.0,3.382826980640856E-10,1.4681149831347628E-10
methane-cooling,150.0,0.2,15.0,0.0,0.0
methane-cooling,150.0,0.2,60.0,0.0,0.0
methane-cooling,150.0,1.0,2.0,4.081537125264165E-5,1.630537933844107E-5
methane-cooling,150.0,1.0,15.0,0.0,0.0
methane-cooling,150.0,1.0,60.0,0.0,0.0
methane-cooling,150.0,3.0,2.0,2.6144617719795323E-4,7.27560317341165E-5
methane-cooling,150.0,3.0,15.0,9.684448144071018E-9,4.212742386587664E-9
methane-cooling,150.0,3.0,60.0,0.0,0.0
methane-heating,1.0,0.002,2.0,1.423967736417981E-16,1.423967736417981E-16
methane-heating,1.0,0.002,15.0,0.0,0.0
methane-heating,1.0,0.002,60.0,0.0,0.0
methane-heating,1.0,0.02,2.0,4.48726829628022E-4,8.673311039420696E-5
methane-heating,1.0,0.02,15.0,9.424644243696974E-13,4.926956190371571E-13
methane-heating,1.0,0.02,60.0,0.0,0.0
methane-heating,1.0,0.2,2.0,2.885314311180917E-4,7.419661299057322E-5
methane-heating,1.0,0.2,15.0,3.2393101380705653E-4,8.805975564818124E-5
methane-heating,1.0,0.2,60.0,3.7959435038307054E-6,1.7556489958952087E-6
methane-heating,1.0,1.0,2.0,1.943827424989243E-4,7.181614097193773E-5
methane-heating,1.0,1.0,15.0,3.029454545229814E-4,7.58591623568585E-5
methane-heating,1.0,1.0,60.0,3.6395429657684614E-4,8.613464708446442E-5
methane-heating,1.0,3.0,2.0,7.457918687440594E-5,3.379920711382072E-5
methane-heating,1.0,3.0,15.0,3.1716941568647966E-4,6.65062724353436E-5
methane-heating,1.0,3.0,60.0,3.1491983377286855E-4,7.626718277284836E-5
methane-heating,10.0,0.002,2.0,0.0,0.0
methane-heating,10.0,0.002,15.0,0.0,0.0
methane-heating,10.0,0.002,60.0,0.0,0.0
methane-heating,10.0,0.02,2.0,1.139174189134384E-16,1.139174189134384E-16
methane-heating,10.0,0.02,15.0,0.0,0.0
methane-heating,10.0,0.02,60.0,0.0,0.0
methane-heating,10.0,0.2,2.0,4.487268296279433E-4,8.67331103943255E-5
methane-heating,10.0,0.2,15.0,9.425323823861164E-13,4.927409243814363E-13
methane-heating,10.0,0.2,60.0,0.0,0.0
methane-heating,10.0,1.0,2.0,3.1644168377853725E-4,7.591959918417185E-5
methane-heating,10.0,1.0,15.0,4.3932077360956035E-4,8.326466112763108E-5
methane-heating,10.0,1.0,60.0,7.300074844335318E-7,3.4621697332954644E-7
methane-heating,10.0,3.0,2.0,2.9685465560549094E-4,7.33500857869488E-5
methane-heating,10.0,3.0,15.0,3.5015919043819067E-4,8.784302475191964E-5
methane-heating,10.0,3.0,60.0,4.105486458434181E-4,1.1338453468201956E-4
methane-heating,50.0,0.002,2.0,0.0,0.0
methane-heating,50.0,0.002,15.0,0.0,0.0
methane-heating,50.0,0.002,60.0,0.0,0.0
methane-heating,50.0,0.02,2.0,0.0,0.0
methane-heating,50.0,0.02,15.0,0.0,0.0
methane-heating,50.0,0.02,60.0,0.0,0.0
methane-heating,50.0,0.2,2.0,5.143693736925583E-9,2.5558392898249223E-9
methane-heating,50.0,0.2,15.0,0.0,0.0
methane-heating,50.0,0.2,60.0,0.0,0.0
methane-heating,50.0,1.0,2.0,3.804655111412598E-4,9.607419906249376E-5
methane-heating,50.0,1.0,15.0,4.364071749944138E-8,2.131813177661065E-8
methane-heating,50.0,1.0,60.0,0.0,0.0
methane-heating,50.0,3.0,2.0,3.4864632476001536E-4,8.358578691677059E-5
